Date,Open,High,Low,Close*,Adj Close**,Volume
11/11/2022,"1,763.80",1766.00,1757.60,1766.00,1766.00,257.00
11/10/2022,"1,708.20",1750.30,1708.20,1750.30,1750.30,325.00
11/9/2022,"1,707.40",1720.20,1706.00,1710.10,1710.10,497.00
11/8/2022,"1,703.20",1712.10,1703.20,1712.10,1712.10,23.00
11/7/2022,"1,676.90",1677.90,1672.90,1676.50,1676.50,42.00
11/4/2022,"1,630.20",1674.50,1629.00,1672.50,1672.50,159.00
11/3/2022,"1,629.20",1629.20,1615.10,1627.30,1627.30,1427.00
11/2/2022,"1,650.80",1664.70,1634.00,1645.70,1645.70,612.00
11/1/2022,"1,630.80",1653.70,1630.80,1645.00,1645.00,985.00
10/31/2022,"1,641.80",1641.80,1633.40,1635.90,1635.90,522.00
10/28/2022,"1,661.00",1661.00,1638.70,1639.60,1639.60,626.00
10/27/2022,"1,660.70",1660.70,1660.70,1660.70,1660.70,2298.00
10/26/2022,"1,649.80",1667.00,1649.80,1664.00,1664.00,89.00
10/25/2022,"1,648.20",1652.80,1637.30,1652.80,1652.80,880.00
10/24/2022,"1,662.70",1662.70,1648.70,1648.70,1648.70,29.00
10/21/2022,"1,634.10",1653.90,1634.10,1651.00,1651.00,224.00
10/20/2022,"1,622.80",1641.40,1622.80,1630.80,1630.80,477.00
10/19/2022,"1,637.50",1637.50,1627.50,1627.50,1627.50,84.00
10/18/2022,"1,651.40",1655.20,1649.00,1649.00,1649.00,597.00
10/17/2022,"1,650.20",1657.00,1646.80,1657.00,1657.00,238.00
10/14/2022,"1,665.30",1667.00,1640.00,1641.70,1641.70,82.00
10/13/2022,"1,675.20",1675.30,1641.50,1670.00,1670.00,729.00
10/12/2022,"1,668.00",1672.70,1668.00,1670.30,1670.30,149.00
10/11/2022,"1,661.80",1678.70,1661.00,1678.70,1678.70,167.00
10/10/2022,"1,693.40",1693.40,1667.00,1667.30,1667.30,195.00
10/7/2022,"1,710.10",1710.10,1693.70,1700.50,1700.50,179.00
10/6/2022,"1,721.00",1723.30,1709.10,1711.70,1711.70,133.00
10/5/2022,"1,724.10",1726.60,1703.00,1711.40,1711.40,418.00
10/4/2022,"1,701.20",1728.00,1696.00,1721.10,1721.10,291.00
10/3/2022,"1,667.20",1700.00,1661.90,1692.90,1692.90,410.00
9/30/2022,"1,661.70",1672.70,1658.00,1662.40,1662.40,548.00
9/29/2022,"1,657.00",1662.60,1640.00,1658.50,1658.50,6028.00
9/28/2022,"1,620.40",1660.40,1620.40,1660.40,1660.40,18311.00
9/27/2022,"1,632.20",1636.60,1626.70,1626.70,1626.70,888.00
9/26/2022,"1,623.30",1623.30,1623.30,1623.30,1623.30,1205.00
9/23/2022,"1,667.00",1667.00,1645.30,1645.30,1645.30,1224.00
9/22/2022,"1,668.30",1670.80,1668.30,1670.80,1670.80,973.00
9/21/2022,"1,665.50",1680.10,1664.60,1664.60,1664.60,2337.00
9/20/2022,"1,659.70",1659.70,1659.70,1659.70,1659.70,2830.00
9/19/2022,"1,661.80",1669.40,1658.50,1666.20,1666.20,580.00
9/16/2022,"1,660.40",1674.90,1651.70,1671.70,1671.70,464.00
9/15/2022,"1,685.50",1686.00,1662.30,1665.40,1665.40,1125.00
9/14/2022,"1,698.70",1701.80,1696.50,1696.50,1696.50,532.00
9/13/2022,"1,720.50",1720.50,1697.30,1705.00,1705.00,432.00
9/12/2022,"1,727.40",1728.10,1727.40,1728.10,1728.10,68.00
9/9/2022,"1,719.20",1720.00,1712.80,1716.20,1716.20,635.00
9/8/2022,"1,718.20",1718.20,1705.30,1708.00,1708.00,1193.00
9/7/2022,"1,694.80",1715.30,1694.70,1715.30,1715.30,651.00
9/6/2022,"1,709.70",1717.40,1699.70,1700.40,1700.40,697.00
